lat,lon,alt,roll,pitch,yaw,vn,ve,vf,vl,vu,ax,ay,az,af,al,au,wx,wy,wz,wf,wl,wu,pos_accuracy,vel_accuracy,navstat,numsats,posmode,velmode,orimode,time
38.861942697,121.662529579,0.0,-0.04066617157146788,-0.021642082724729686,3.1175071099122715,0.03462871291273714,-0.6427945480852614,1.305,-0.039,-0.039,-0.0014741083026460194,-0.030465963173694606,-0.020596593587648294,-0.0014741083026460194,-0.030465963173694606,-0.020596593587648294,0.1219,0.01,-0.022,0.1219,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.61799999999948,81.61799999999948
38.861942762,121.662528076,0.0,-0.0301941960595019,-0.021642082724729686,3.1159363135854767,0.07217034445173047,-1.3045205609707144,1.305,-0.039,-0.039,-0.0006207580848478136,-0.016435737054429723,-0.0047110563553243515,-0.0006207580848478136,-0.016435737054429723,-0.0047110563553243515,0.0866,-0.0,-0.0092,0.0866,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.71799999999985,81.71799999999985
38.861942828,121.662526573,0.0,-0.023212879051524585,-0.02199114857512855,3.1155872477350774,0.07328048325399891,-1.3045205631216,1.305,-0.039,-0.039,-6.5956470624577195e-06,-0.001948510447047914,0.0017191532513660054,-6.5956470624577195e-06,-0.001948510447047914,0.0017191532513660054,0.0462,-0.0,0.0018,0.0462,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.81800000000021,81.81800000000021
38.86194296,121.66252353,0.0,-0.02356194490192345,-0.021642082724729686,3.1162853794358756,0.14656135090099526,-2.641155060015789,1.305,-0.039,-0.039,7.363990067285877e-05,0.004474355297785382,-0.002073558096144055,7.363990067285877e-05,0.004474355297785382,-0.002073558096144055,-0.0475,0.01,0.0034,-0.0475,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.02099999999973,82.02099999999973
38.861943024,121.662522034,0.0,-0.030019663134302467,-0.02007128639793479,3.116459912361075,0.035005046291319494,-0.6396280573582178,1.305,-0.039,-0.039,-0.0005120701481343352,0.0003662353297149495,-0.017912766636230582,-0.0005120701481343352,0.0003662353297149495,-0.017912766636230582,-0.0827,0.02,0.002,-0.0827,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.1210000000001,82.1210000000001
38.861943089,121.662520531,0.0,-0.039269908169872414,-0.017976891295541596,3.116459912361075,0.07217045565335702,-1.3045205558209154,1.305,-0.039,-0.039,-0.0007633068468856658,-0.0025511541598440724,-0.023720734253102442,-0.0007633068468856658,-0.0025511541598440724,-0.023720734253102442,-0.0984,0.02,-0.0035,-0.0984,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.22099999999955,82.22099999999955
38.861943154,121.662519028,0.0,-0.04921828490624009,-0.016057029118347832,3.115761780660277,0.07217047080345955,-1.3045205543490246,1.305,-0.039,-0.039,-0.0009742559930388979,-0.01176956879925599,-0.021607939390052077,-0.0009742559930388979,-0.01176956879925599,-0.021607939390052077,-0.0998,0.01,-0.0083,-0.0998,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.32099999999991,82.32099999999991
38.861942669,121.662517518,0.0,-0.06789330790257943,-0.017627825445142728,3.1141909843334825,-0.5384001175086037,-1.310601851066117,1.305,0.102,-0.141,-1.3781690579663802e-05,0.6801965176317546,-0.4895143439060037,-1.3781690579663802e-05,0.6801965176317546,-0.4895143439060037,-0.0791,-0.03,-0.0053,-0.0791,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.52399999999943,82.52399999999943
38.86194261,121.662516025,0.0,-0.07452555906015787,-0.02199114857512855,3.1143655172586815,-0.03225887117120646,-0.6383460092876018,1.305,0.102,-0.141,0.006403570575900928,-0.011292314372935005,0.050146687367462355,0.006403570575900928,-0.011292314372935005,0.050146687367462355,-0.0508,-0.06,0.0045,-0.0508,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.6239999999998,82.6239999999998
38.861942549,121.662514518,0.0,-0.07801621756414652,-0.028623399732707003,3.116110846510676,-0.06770562757893354,-1.3079936531406866,1.305,0.102,-0.141,0.008544651243025933,0.011097809676823162,0.08450953718573784,0.008544651243025933,0.011097809676823162,0.08450953718573784,-0.0123,-0.07,0.02,-0.0123,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.72400000000016,82.72400000000016
38.861942484,121.662513011,0.0,-0.0778416846389471,-0.03595378259108319,3.1192524391642658,-0.07214609909360135,-1.3079936812702209,1.305,0.102,-0.141,0.008454597806672539,0.03379697919725622,0.09880652314658915,0.008454597806672539,0.03379697919725622,0.09880652314658915,0.018,-0.08,0.0317,0.018,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.82399999999961,82.82399999999961
